,ISBN,result,price_paperback,price_hardcover,Name,Publisher,CountsOfReview,PublishYear,Authors,Rating,Description,Count of text reviews,PagesNumber,RatingDistTotal_split,RatingDist1_final,RatingDist2_final,RatingDist3_final,RatingDist4_final,RatingDist5_final
662,0694012165,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $15.22  \n\n\n   \n     122 Used from $1.08         14 New from $14.94         5 Collectible from $6.50      ', '  Paperback  \n $5.95  \n\n\n   \n     19 Used from $1.95         4 Collectible from $9.95      '], '0694012165')",5.95,15.22,When I Was Little Board Book: A Four-Year-Old's Memoir of Her Youth,HarperFestival,4,1999,Jamie Lee Curtis,4.02,"<blockquote>
  <em>""When I was little, I could hardly do anything. But now I can do lots of things, like braid my own hair and go to nmusery school. I'm not a baby anymore. I'm me!""</em>
</blockquote>Jamie Lee Curtis and Laura Cornell perfectly capture a little girl's simple, childlike celebration of herself, as she looks back on her childhood from the lofty height of four and a half years. This spirited view of growing up is perfect for the youngest readers.",,32.0,1420,18,86,323,421,572
663,0811217523,"(['  Kindle  \n $14.95  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $8.46  \n\n\n   \n     4 Used from $8.46         1 New from $50.00         1 Collectible from $15.00      ', '  Paperback  \n $15.83  \n\n\n   \n     9 Used from $8.99         3 New from $11.83      '], '0811217523')",15.83,8.46,Final Exam,New Directions,0,2008,Julio Cortázar,3.74,"Written in 1950 (just before the fall of Perón's government), <em>Final Exam</em> is Julio Cortázar's bitter and melancholy allegorical farewell to an Argentina from which he would soon be permanently self-exiled.<br /><br /><br />In a surreal Buenos Aires, a strange fog has enveloped the city to everyone's bewilderment. Juan and Clara, two students at a college called ""The House,"" meet up with their friends, and, instead of preparing for their final exam, wander the city, encountering strange happenings and pondering life in cafés. All the while, they are trailed by the mysterious Abel.<br /><br /><br />With its daring typography, shifts in rhythm, as well as wildly veering directions of thought and speech, <em>Final Exam</em> breaks new ground in the territory of stream-of-consciousness writing. Darkly funny—and riddled with unresolved ambiguities—<em>Final Exam</em> is one of Cortázar's best works.<br /><br /><br />Author of <em>Hopscotch</em> and <em>Blow-Up</em>, Julio Cortázar's (1914-1984) was a novelist, poet, essayist, and short-story writer. He was born in Brussels, lived in Argentina, but moved permanently to France in 1951, where he became one of the twentieth century's major experimental writers.",,256.0,561,26,34,156,188,157
671,0670031100,"(['  Kindle  \n $12.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $30.99  \n\n\n   \n     15 Used from $3.52         2 New from $30.99      ', '  Paperback  \n $8.35 - $20.00  \n\n\n   \n     50 Used from $1.63         11 New from $10.91      ', '  Audio CD  \n $41.23  \n\n\n   \n     2 New from $20.99      '], '0670031100')",8.35,30.99,Mutants: On Genetic Variety and the Human Body,Viking Adult,15,2003,Armand Marie Leroi,4.04,"""Who are the mutants? We are all mutants. But some of us are more mutant than others."" <br /><br /> Variety, even deformity, may seem like an unlikely route by which to approach normality, even perfection. Yet much of what we know about the mechanisms of human development, growth, and aging comes from the study of people who are afflicted with congenital diseases, most of which have genetic causes. Congenital abnormalities reveal not only errors within the womb, but also our evolutionary history. <br /><br /> In <i>Mutants</i>, Armand Marie Leroi gives a brilliant narrative account of our genetic grammar and the people whose bodies have revealed it, balancing both the science and the stories behind some of history's most captivating figures-including a French convent girl who found herself changing sex upon puberty; children who, echoing Homer's Cyclops, are born with a single eye in the middle of their foreheads; a village of long-lived Croatian dwarves; a hairy family who was kept at the Burmese royal court for four generations (and from whom Darwin took one of his keenest insights into heredity); and the ostrich-footed Wadoma of the Zambezi River Valley. <br /><br /> Stepping effortlessly from myth to molecular biology, this elegant, humane, and illuminating book is about us all.",,448.0,3425,61,159,648,1258,1299
672,0061240249,"(['  Kindle  \n $13.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $13.29  \n\n\n   \n     23 Used from $3.00         4 New from $14.69         5 Collectible from $8.99      ', '  Paperback  \n $12.19  \n\n\n   \n     43 Used from $1.36         19 New from $5.99         3 Collectible from $10.99      ', '  Audio CD  \n $39.65  \n\n\n   \n     2 New from $20.99      '], '0061240249')",12.19,13.29,If Today Be Sweet,Harper Perennial,24,2008,Thrity Umrigar,3.66,"The recent death of her beloved husband, Rustom, has taken its toll on Tehmina Sethna. Now, while visiting her son, Sorab, in his suburban Ohio home, she is being asked to choose between continuing her old life in India and starting a new one in this unfamiliar country with her son, his American wife, and their child. Her destiny is uncertain, and soon the plight of two troubled young children next door will force the most difficult decision she has ever faced. Ultimately the journey is one that Tehmina must travel alone.",,320.0,2225,49,158,718,867,433
675,0439855624,"(['  Kindle & Comixology  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $10.49  \n\n\n   \n     28 Used from $1.72         5 New from $8.99         4 Collectible from $16.63      ', '  Paperback  \n $4.95  \n\n\n   \n     44 Used from $1.18         2 New from $7.49      '], '0439855624')",4.95,10.49,"Kin (The Good Neighbors, #1)",Graphix,543,2008,Holly Black,3.6,"Rue Silver's mother has disappeared . . . and her father has been arrested, suspected of killing her. But it's not as straightforward as that. Because Rue is a faerie, like her mother was. And her father didn't kill her mother -- instead, he broke a promise to Rue's faerie king grandfather, which caused Rue's mother to be flung back to the faerie world. Now Rue must go to save her -- and must also defeat a dark faerie that threatens our very mortal world.",,144.0,4284,102,427,1461,1381,913
676,0547053738,"(['  Kindle  \n $9.68  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $10.70  \n\n\n   \n     43 Used from $1.54         2 New from $18.30         6 Collectible from $12.98      ', '  Paperback  \n $10.19  \n\n\n   \n     92 Used from $1.28         19 New from $7.99         3 Collectible from $8.50      ', '  MP3 CD  \n $9.99  \n\n\n   \n     3 New from $8.76      '], '0547053738')",10.19,10.7,The Last Chinese Chef,Mariner Books,69,2008,Nicole Mones,3.81,"This exhilarating story is the transporting tale of how the sensual, romantic elements of haute Chinese cuisine become the perfect ingredients to lift the troubled soul of a grieving American woman.",,270.0,7903,88,486,2097,3379,1853
678,0553261762,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $33.97  \n\n\n   \n     11 Used from $32.95         1 New from $29.99      ', '  Paperback  \n    \n                             from $34.99                \n\n\n   \n     1 New from $34.99      ', '  Mass Market Paperback  \n $6.98  \n\n\n   \n     9 Used from $1.25      ', '  Audio CD  \n $26.32  \n\n\n   \n     10 Used from $4.68         3 New from $22.32      '], '0553261762')",6.98,33.97,COMSTOCK LODE,Bantam,1,1982,Louis L'Amour,4.07,"<p>It was just a godforsaken mountainside, but no place on earth was richer in silver. For a bustling, enterprising America, this was the great bonanza. The dreamers, the restless, the builders, the vultures—they were lured by the glittering promise of instant riches and survived the brutal hardships of a mining camp to raise a legendary boom town. But some sought more than wealth. Val Trevallion, a loner haunted by a violent past. Grita Redaway, a radiantly beautiful actress driven by an unfulfilled need. Two fiercely independent spirits, together they rose above the challenges of the Comstock to stake a bold claim on the future.</p>",,406.0,3322,14,103,762,1208,1235
684,0345430395,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $11.16  \n\n\n   \n     34 Used from $1.95         5 New from $7.77         7 Collectible from $10.00      ', '  Paperback  \n $12.93  \n\n\n   \n     49 Used from $1.99         1 New from $8.20         1 Collectible from $10.50      ', '  Mass Market Paperback  \n    \n                             from $33.48                \n\n\n   \n     5 Used from $33.48         2 New from $47.10      ', '  Audio CD  \n $28.99  \n\n\n   \n     3 Used from $25.00      '], '0345430395')",12.93,11.16,Mortalis (Corona: DemonWars),Del Rey Books,0,2000,R.A. Salvatore,4.0,"The bestselling author of the ""DemonWars"" trilogy returns to that world with his most ambitious novel to date: a tale of grief, despair, and hope set in the magical land of Corona. The heroic woman known as Pony must now undertake a pilgrimage that will test her powers and her faith as they have never been tested before.",,484.0,2125,24,115,498,690,798
687,0713905719,"(['  Kindle  \n $10.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $7.54  \n\n\n   \n     2 Used from $7.54      ', '  Paperback  \n $9.48 - $21.00  \n\n\n   \n     68 Used from $1.95         14 New from $12.32      ', '  Mass Market Paperback  \n $14.37  \n\n\n   \n     7 Used from $14.36         1 New from $39.53      '], '0713905719')",9.48,7.54,The Complete English Poems,Allen Lane,0,1974,John Donne,4.14,"Yet it is only this century that Donne has been indisputably established as a great poet—and even, many feel, the greatest love poet of them all. Jonson went on to remark that 'That Donne, for not keeping of an accent, deserved hanging', yet Donne's rhythms, once thought 'unmusical' are now recognized as the natural rhythms of the speaking voice; his 'eccentricity' as a complex self-doubt; his 'obscurity' the reflection of a brilliantly learned and allusive mind. Poets such as Eliot and Empson have found Donne's poetry profoundly attuned to our modern age, while Yeats' glowing comment will always be true: 'the intricacy and subtlety of his imagination are the length and depth of the furrow made by his passion.' <br /><br />This volume, superbly edited by Professor Smith, is the first complete edition to make a serious attempt to guide the reader closely through the complexities of Donne's poetry. Considerable attention has been paid to the text, and a selection of the important manuscript variants are included. This edition is also the first to make use of the newly discovered manuscript of the verse letter to Lady Carey and Mistress Essex Rich.",,679.0,9436,147,413,1649,2952,4275
689,1591026423,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $14.95  \n\n\n   \n     19 Used from $2.49         3 New from $10.00      ', '  Paperback  \n $33.65  \n\n\n   \n     13 Used from $1.95         4 New from $33.65         1 Collectible from $37.99      ', '  Preloaded Digital Audio Player  \n    \n                        \n    —\n             \n\n\n   \n  '], '1591026423')",33.65,14.95,"A World Too Near (Entire and the Rose, #2)",Pyr,35,2008,Kay Kenyon,3.91,"In Bright of the Sky, Kay Kenyon introduced a milieu unique in science fiction and fantasy: The Entire, a five-armed radial universe that exists in a dimension without stars and planets and is parallel to our own universe. Stretched over The Entire is a lid of plasma, called the bright, which ebbs and flows, bringing day and twilight. Under the vast canopy of the bright live many galactic species, copied from our own universe. <br /><br />Former star pilot Titus Quinn loves The Entire, but now he must risk annihilating it by destroying the fortress of Ahnenhoon. To sustain a faltering Entire, Ahnenhoon's great engine will soon reach through the brane separating the universes and consume our own universe in a concentrated ball of fire. <br /><br />Quinn sets off on a journey across The Entire armed with the nan, a small ankle bracelet containing nanoscale military technology that can reduce Ahnenhoon and its deadly engine to chaos. He must pursue his mission even though his wife is held prisoner in Ahnenhoon and his own daughter has sent the assassin MoTi to hunt him down. <br /><br />As he traverses the galactic distances of The Entire, he learns more of the secrets of its geography, its fragile storm walls, its eons-long history, and the factions that contend for dominance. One of these factions is led by his daughter, who though young and a slave, has at her command a transforming and revolutionary power. <br /><br />As Quinn wrestles with looming disaster and approaches the fabled concentric rings of Ahnenhoon's defenses, he learns that in the Entire, nothing is what it appears. Its denizens are all harboring secrets, and the greatest of these is the nature of the Entire itself.",,425.0,886,5,33,240,365,243
690,1416942084,"(['  Kindle  \n $5.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $16.99  \n\n\n   \n     9 Used from $5.95         1 New from $16.99      ', '  Paperback  \n $5.99  \n\n\n   \n     24 Used from $1.43         5 New from $5.66      '], '1416942084')",5.99,16.99,The Bronze Pen,Atheneum Books for Young Readers,7,2009,Zilpha Keatley Snyder,3.33,"Twelve-year-old Audrey Abbott dreams of becoming a writer, but with her father's failing health and the family's shaky finances, it seems there is no room for what her overworked mother would surely call a childish fantasy. So Audrey keeps her writing a secret. That is, until she meets a mysterious old woman who seems able to read her mind. Audrey is surprised at how readily she reveals her secret to the woman. <br /> <br /> One day the old woman gives Audrey a peculiar bronze pen and tells her to ""use it wisely and to good purpose."" It turns out to be just perfect for writing her stories with. But as Audrey writes, odd things start happening. Did Beowulf, her dog, just speak to her? And what is that bumping under her bed at night? It seems that whatever she writes with the pen comes true. However, things don't always happen in the way that she wants or expects. In fact, it's quite difficult to predict what writing with the pen will do. Could the pen be more of a curse than a gift? Or will Audrey be able to rewrite the future in the way that she wishes---and save her father's life?",,208.0,563,31,88,204,147,93
691,0671521519,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $9.60  \n\n\n   \n     15 Used from $4.95         1 New from $48.94         4 Collectible from $26.00      ', '  Paperback  \n $12.79  \n\n\n   \n     21 Used from $2.60         4 New from $8.00         1 Collectible from $4.99      ', '  Mass Market Paperback  \n $38.98  \n\n\n   \n     1 Used from $35.32         1 New from $38.98      '], '0671521519')",12.79,9.6,Bless the Beasts & Children,Pocket Books,7,1995,Glendon Swarthout,3.56,"""Send Us a Boy -- We'll Send You a Cowboy!"" is the slogan of the Box Canyon Boys Camp. But for the nail biters, thumb suckers, and teeth grinders -- the cast-away offspring of parents who are busy travelling, being divorced, remarrying, and garnering fortunes -- it's just another place to face rejection. Until Cotton.Cotton pulls them together. In a hot-wired pickup, he leads ""the Bedwetters"" on a fantastic mission to save a heard of buffalo -- and in the process, to save themselves. But as the raw red Arizona sun rises, they will discover the cost of their one grand moment of glory",,189.0,1708,114,156,484,559,395
694,0316808415,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $10.54  \n\n\n   \n     13 Used from $6.55         1 Collectible from $20.00      ', '  Paperback  \n $7.20  \n\n\n   \n     15 Used from $1.35         2 Collectible from $6.49      ', '  Mass Market Paperback  \n $6.92  \n\n\n   \n     12 Used from $2.99         1 New from $14.92         1 Collectible from $19.00      ', '  Preloaded Digital Audio Player  \n    \n                        \n    —\n             \n\n\n   \n  '], '0316808415')",7.2,10.54,Who Put That Hair In My Toothbrush,Little Brown and Company,2,2000,Jerry Spinelli,3.86,"Who Put That Hair in My Toothbrush? Sibling rivalry at its finest! Whether it's on the hockey ice, at school, or at home, Greg and Megin just can't seem to get along. She calls him Grosso, he calls her Megamouth. They battle with donuts, cockroaches, and hair. Will it take a tragedy for them to realize how much they actually care for each other?",,220.0,1579,35,120,391,519,514
696,0548490570,"(['  Kindle  \n $0.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $19.97  \n\n\n   \n     1 New from $19.97      ', '  Paperback  \n $38.95  \n\n\n   \n     3 New from $38.41      ', '  MP3 CD  \n $19.00  \n\n\n   \n     1 New from $19.00      '], '0548490570')",38.95,19.97,Cecilia: Or Memoirs Of An Heiress,Kessinger Publishing,0,2007,Frances Burney,3.75,"This scarce antiquarian book is a facsimile reprint of the original. Due to its age, it may contain imperfections such as marks, notations, marginalia and flawed pages. Because we believe this work is culturally important, we have made it available as part of our commitment for protecting, preserving, and promoting the world's literature in affordable, high quality, modern editions that are true to the original work.",,480.0,3546,154,303,882,1133,1074
698,1551668459,"(['  Kindle  \n $5.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $28.95  \n\n\n   \n     3 Used from $17.01         1 New from $28.95      ', '  Mass Market Paperback  \n $6.37  \n\n\n   \n     55 Used from $0.01         3 New from $8.23      '], '1551668459')",6.37,28.95,"The Cabin (Carriage House, #2)",Mira Books,2,2002,Carla Neggers,3.87,"After realizing that his wife Susanna does not plan to return from her trip to Boston, Texas Ranger Jack Galway sets out after her, not knowing that Alice Parker, a woman he sent to prison, is following him with plans of revenge.",,384.0,1156,17,61,304,447,327
699,1862070717,"(['  Hardcover  \n $92.00  \n\n\n   \n     23 Used from $4.95         5 New from $76.86         5 Collectible from $14.66      ', '  Paperback  \n $10.56  \n\n\n   \n     20 Used from $3.14         1 New from $28.65      ', '  Mass Market Paperback  \n $37.96  \n\n\n   \n     6 Used from $37.96      '], '1862070717')",10.56,92.0,The Langhorne Sisters,Granta Books (Uk),0,1998,James Fox,3.73,"Drawn from the private family archive, this book recounts a family's dramatic reinvention and transformation on both sides of the Atlantic.",,578.0,706,20,56,191,267,172
700,0394604318,"(['  Kindle  \n $0.00  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $8.82  \n\n\n   \n     8 Used from $5.00      ', '  Paperback  \n $5.99  \n\n\n   \n     1 New from $5.99      ', '  Mass Market Paperback  \n $12.83  \n\n\n   \n     3 Used from $11.19         8 New from $12.83      ', '  MP3 CD  \n $29.99  \n\n\n   \n     1 New from $29.99      '], '0394604318')",5.99,8.82,Nostromo,Modern Library,2,1983,Joseph Conrad,3.82,"From an anecdote and a brief visit to Venezuela, Conrad derived the exotic scenery of the province of Sulaco and its rootless mixed-race society. In this shadowy setting, Nostromo (1904) enacts an intense moral drama of dictatorship and revolutionary violence, of corrosive materialism and the voracity of ""progress.""",,566.0,15358,559,1178,3553,5278,4790
701,371758006X,"(['  Kindle  \n $0.97  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $19.77  \n\n\n   \n     4 Used from $19.77      ', '  Paperback  \n $4.76  \n\n\n   \n     1 New from $4.76      ', '  Pocket Book  \n $8.71  \n\n\n   \n     2 Used from $8.71      '], '371758006X')",4.76,19.77,Die Elenden,Manesse-Verlag,2,1997,Victor Hugo,4.18,"«Ein Buch der Nächstenliebe» (Charles Baudelaire)<br /><br />Victor Hugo war ein engagierter Dichter avant la lettre. Sein großer, visionärer Roman ist eine Verteidigungsrede für die Elenden, für jene, die unter ihrer Not leiden und die ihre Not entehrt.<br />Im Mittelpunkt des monumentalen Romans steht die Geschichte des entlassenen Häftlings Jean Valjean, der nur durch die selbstlose Hilfe eines Bischofs wieder in die Gesellschaft zurück- und den Glauben an die Menschen wiederfindet. Unter falschem Namen baut er sich in Paris eine neue Existenz auf und sorgt für die junge Cosette, deren Mutter elend an Schwindsucht gestorben ist. Er muss jedoch seine wahre Identität geheim halten. Als Cosette sich in den aufstrebenden Advokaten Marius verliebt, versucht er, die beiden Liebenden auseinanderzutreiben - so sehr fürchtet er die Trennung von seiner Adoptivtochter. Mit dem Beginn der Pariser Arbeiteraufstände von 1832 überschlagen sich die Ereignisse: Marius gerät in den Straßenkämpfen in Lebensgefahr, und Valjeans Vergangenheit wird zur zunehmenden Bedrohung für Cosettes Glück.<br /><br /><i>Eine Gesellschaft, die das Elend zulässt, eine Menschheit, die den Krieg zulässt, scheint mir minderwertig... Ich verdamme die Sklaverei, verjage das Elend, ich behandle die Krankheit, ich erhelle die Nacht, ich hasse den Hass. Darum habe ich 'Die Elenden' geschrieben.</i> Victor Hugo",,1347.0,678870,17328,29499,100471,200918,330654
703,0316002895,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $10.94  \n\n\n   \n     114 Used from $0.99         18 New from $4.23         6 Collectible from $6.52      ', '  Paperback  \n $10.89  \n\n\n   \n     140 Used from $1.24         25 New from $5.28         2 Collectible from $1.22      ', '  Mass Market Paperback  \n $7.10  \n\n\n   \n     75 Used from $0.99         5 New from $12.98         1 Collectible from $17.95      ', '  Audio CD  \n $6.49  \n\n\n   \n     11 Used from $6.01      ', '  Multimedia CD  \n $39.99  \n\n\n   \n     1 Used from $39.99      '], '0316002895')",10.89,10.94,"Max (Maximum Ride, #5)",jimmy patterson,2019,2009,James Patterson,4.06,"James Patterson's bestselling Maximum Ride series is back, with Max and the gang as The Protectors. Someone--or some<i>thing-</i>-is decimating ships and sea life off Hawaii's coast, and Max and her flock find themselves sucked into the Navy's top-secret investigation of the catastrophe. Their objective: Rescue Max's activist mom from a wicked subterranean enemy. The hitch: They must dive deep into dark waters, where gruesome evil dwells... and for high-flying Maximum Ride, could there be <i>anything</i> more terrifying than being trapped in the great abyss? This soaring new adventure takes Maximum Ride and the Flock into terrifying new territory--fans, hold your breath! <i></i>",,309.0,68331,1395,4099,12970,20097,29770
706,078629311X,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $4.95  \n\n\n   \n     8 Used from $3.95      ', '  Paperback  \n $14.99  \n\n\n   \n     110 Used from $1.34         13 New from $8.47         3 Collectible from $6.75      ', '  Mass Market Paperback  \n $15.74  \n\n\n   \n     25 Used from $2.00      ', '  Audio CD  \n $119.99  \n\n\n   \n     1 Used from $119.99      ', '  Digital  \n    \n                        \n    —\n             \n\n\n   \n  '], '078629311X')",14.99,4.95,When the Heart Cries,Thorndike Press,0,2007,Cindy Woodsmall,4.25,"When Hannah dares to love across the boundaries of tradition, will she lose everything? <br />Despite being raised in a traditional Old Order Amish family, seventeen-year-old Hannah Lapp desires to break with custom, forgo baptism into the faith, and marry outside the cloistered community. She's been in love with Mennonite Paul Waddell for three years, and before returning to college for his senior year, Paul asks Hannah to be his wife. Hannah accepts, aware that her marriage will change her relationship with her family forever. <br />On the evening of their engagement, tragedy strikes and in one unwelcome encounter, all that Hannah has known and believed is destroyed. As she finds herself entangled in questions that the Old Ways of her people cannot answer, Hannah faces the possibility of losing her place in her family, in her community- and in the heart of the man she loves.",,525.0,4478,49,122,654,1485,2168
707,0515076414,"(['  Kindle  \n $5.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $9.56  \n\n\n   \n     11 Used from $5.00         6 Collectible from $12.50      ', '  Paperback  \n $16.65  \n\n\n   \n     84 Used from $1.37         22 New from $9.71      ', '  Mass Market Paperback  \n $6.48  \n\n\n   \n     4 Used from $4.99      ', '  MP3 CD  \n $9.99  \n\n\n   \n     4 New from $8.76      '], '0515076414')",16.65,9.56,"Stand into Danger (Richard Bolitho, #4)",Jove,0,1984,Alexander Kent,4.03,,,258.0,1743,20,55,351,744,573
710,2723427374,"(['  Hardcover  \n $21.57  \n\n\n   \n     5 Used from $18.23         7 New from $21.57      ', '  Paperback  \n $27.63  \n\n\n   \n     3 Used from $16.27         8 New from $21.27      ', '  Board book  \n    \n                             from $78.99                \n\n\n   \n     1 Used from $78.99         1 New from $78.99      '], '2723427374')",27.63,21.57,"Akira, tome 1",Glénat,3,1999,Katsuhiro Otomo,4.38,"2030. Néo-Tokyo est devenue une gigantesque poubelle hi-tech. Tetsuo, Kanéda et leur bande de jeunes du centre d'insertion et d'apprentissage professionnel foncent dans la nuit sur des motos volées, sans autre but que de repousser toujours plus loin les limites du speed. Quand ils croisent un drôle de petit garçon au visage de vieillard, leur premier réflexe est de l'agresser mais cette créature perdue possède un étrange moyen de défense... Ils viennent de faire connaissance avec le n°26 et de franchir, sans s'en rendre compte, la première étape d'un processus irréversible : le réveil d'Akira...<br /><br />Une réédition 10 ans après sa première édition, dans sa forme originelle : de gros recueils de plus de 360 pages noir et blanc, brochés.",,359.0,23805,254,474,2531,7213,13333
712,0449908909,"(['  Kindle  \n $14.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $8.92  \n\n\n   \n     16 Used from $4.93         2 New from $60.00         11 Collectible from $8.95      ', '  Paperback  \n $5.96  \n\n\n   \n     5 Used from $5.96         1 Collectible from $10.80      '], '0449908909')",5.96,8.92,Sorrow Floats,Ballantine Books,0,1994,Tim Sandlin,3.99,"Everybody in the small town of GroVont, Wyoming, knew everybody else's business -- kind of like the Watergate stuff that was flooding the airwaves. But twenty-two-year-old Maurey Pierce Talbot had her own problems. Sunk low since her father died, she was still writing postcards to him in San Fran. Whiskey was her best friend. But the kicker was misplacing her baby boy on the roof of her Bronco -- which sent her life into a downward spiral where the only way clear was getting out of state . . .",,368.0,1117,13,45,238,470,351
713,0333434706,"(['  Hardcover  \n $13.29  \n\n\n   \n     5 Used from $10.00      ', '  Paperback  \n    \n                             from $34.09                \n\n\n   \n     3 Used from $34.09      ', '  Mass Market Paperback  \n $22.00  \n\n\n   \n     4 Used from $8.00      '], '0333434706')",22.0,13.29,Roland Barthes by Roland Barthes,Palgrave Macmillan,0,1989,Roland Barthes,4.09,"First published in 1977, <i>Roland Barthes by Roland Barthes</i> is the great literary theorist's most original work—a brilliant and playful text, gracefully combining the personal and the theoretical to reveal Roland Barthes's tastes, his childhood, his education, his passions and regrets.",,188.0,773,9,43,141,259,321
714,0023991410,"(['  Hardcover  \n $64.85  \n\n\n   \n     4 Used from $60.01         1 Collectible from $31.99      ', '  Paperback  \n $7.36  \n\n\n   \n     5 Used from $6.74         3 New from $14.99      '], '0023991410')",7.36,64.85,The Odyssey of Homer,MacMillan Publishing Company,0,1991,Homer,3.77,"This poem mainly centers on the Greek hero Odysseus (or Ulysses, as he was known in Roman myths) and his long journey home following the fall of Troy. It takes Odysseus ten years to reach Ithaca after the ten-year Trojan War.[2] In his absence, it is assumed he has died, and his wife Penelope and son Telemachus must deal with a group of unruly suitors, called Proci, competing for Penelope's hand in marriage.",,0.0,851345,33737,73658,211115,270908,261927
716,0307279111,"(['  Kindle  \n $13.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $33.07  \n\n\n   \n     24 Used from $1.60         6 New from $28.77         14 Collectible from $8.46      ', '  Paperback  \n $16.95  \n\n\n   \n     22 Used from $2.99         6 New from $11.67         2 Collectible from $7.99      ', '  Audio CD  \n $34.99  \n\n\n   \n     2 Used from $29.25         4 New from $10.75      '], '0307279111')",16.95,33.07,Mr. Sebastian and the Negro Magician,Anchor,20,2008,Daniel Wallace,3.56,"Henry Walker was once a world-class magician, performing to sold-out shows in New York. But now he has been reduced to joining Musgrove's Chinese Circus (which at no point in its tour of the deep South has ever included a single Chinese person) as the shambling Negro Magician, whose dark black skin and electric green eyes bewitch most audiences. But one balmy Mississippi night in 1954, Henry disappears in the company of three rowdy white teens and is never seen again. Wallace pieces together Henry's incredible vagabond life – from a deal with a bone-white devil known only as Mr. Sebastian, to the heartrending loss of his sister Hannah – and creates an enchanting tale of love, loss, identity, and the limitation of magic.",,304.0,1384,30,143,469,508,234
